,UF,CARGO,COR,propor14,propor18,Variaçao 14-18
280,RJ,SENADOR,BRANCA,0.5,0.7058823529411765,0.41176470588235303
281,RJ,SENADOR,PRETA,0.125,0.11764705882352941,-0.05882352941176472
282,RJ,SENADOR,PARDA,0.375,0.17647058823529413,-0.5294117647058824
283,RJ,SENADOR,AMARELA,0.0,0.0,
284,RJ,SENADOR,INDÍGENA,0.0,0.0,
285,RN,DEPUTADO ESTADUAL,BRANCA,0.6751824817518248,0.5443425076452599,-0.1937846102983718
286,RN,DEPUTADO ESTADUAL,PRETA,0.06569343065693431,0.08256880733944955,0.25688073394495414
287,RN,DEPUTADO ESTADUAL,PARDA,0.24817518248175183,0.37003058103975534,0.49100557654254356
288,RN,DEPUTADO ESTADUAL,AMARELA,0.0072992700729927005,0.0,-1.0
289,RN,DEPUTADO ESTADUAL,INDÍGENA,0.0036496350364963502,0.0030581039755351682,-0.16207951070336388
290,RN,DEPUTADO FEDERAL,BRANCA,0.61,0.6,-0.016393442622950834
291,RN,DEPUTADO FEDERAL,PRETA,0.12,0.1,-0.1666666666666666
292,RN,DEPUTADO FEDERAL,PARDA,0.27,0.3,0.111111111111111
293,RN,DEPUTADO FEDERAL,AMARELA,0.0,0.0,
294,RN,DEPUTADO FEDERAL,INDÍGENA,0.0,0.0,
295,RN,SENADOR,BRANCA,0.6,0.6666666666666666,0.11111111111111109
296,RN,SENADOR,PRETA,0.2,0.2,0.0
297,RN,SENADOR,PARDA,0.2,0.13333333333333333,-0.33333333333333337
298,RN,SENADOR,AMARELA,0.0,0.0,
299,RN,SENADOR,INDÍGENA,0.0,0.0,
300,RS,DEPUTADO ESTADUAL,BRANCA,0.9140083217753121,0.872791519434629,-0.04509455916180963
301,RS,DEPUTADO ESTADUAL,PRETA,0.05131761442441054,0.08244994110718493,0.6066596631967658
302,RS,DEPUTADO ESTADUAL,PARDA,0.033287101248266296,0.04240282685512368,0.2738515901060072
303,RS,DEPUTADO ESTADUAL,AMARELA,0.0,0.0,
304,RS,DEPUTADO ESTADUAL,INDÍGENA,0.0013869625520110957,0.002355712603062426,0.6984687868080093
305,RS,DEPUTADO FEDERAL,BRANCA,0.9113149847094801,0.8669833729216152,-0.04864576192829474
306,RS,DEPUTADO FEDERAL,PRETA,0.05198776758409786,0.09501187648456057,0.8275813888500768
307,RS,DEPUTADO FEDERAL,PARDA,0.03363914373088685,0.028503562945368172,-0.15266681062405518
308,RS,DEPUTADO FEDERAL,AMARELA,0.0,0.007125890736342043,inf
